customer_id,age,gender,income,purchase_frequency,satisfaction_score,membership_level
1001,34,M,65000,12,4.5,Gold
1002,28,F,48000,8,4.2,Silver
1003,45,M,92000,15,4.8,Platinum
1004,23,F,35000,5,3.9,Bronze
1005,56,M,115000,20,4.9,Platinum
1006,31,F,58000,10,4.3,Silver
1007,42,M,78000,14,4.6,Gold
1008,29,F,52000,9,4.1,Silver
1009,38,M,71000,13,4.7,Gold
1010,51,F,98000,18,4.8,Platinum
1011,26,M,42000,6,3.8,Bronze
1012,44,F,85000,16,4.7,Gold
1013,33,M,61000,11,4.4,Silver
1014,49,F,105000,19,4.9,Platinum
1015,25,M,38000,4,3.7,Bronze
1016,37,F,68000,12,4.5,Gold
1017,52,M,110000,21,5.0,Platinum
1018,30,F,55000,9,4.2,Silver
1019,41,M,76000,14,4.6,Gold
1020,27,F,45000,7,4.0,Bronze
1021,46,M,88000,17,4.7,Gold
1022,35,F,64000,11,4.4,Silver
1023,54,M,,22,4.9,Platinum
1024,24,F,36000,5,3.8,Bronze
1025,39,M,73000,,4.6,Gold
